date,total_passenger,commute_passenger,other_passenger,holiday_or_weekend
2022-12-08,4784426.0,2013368.0,2771058.0,0
2022-12-09,4868528.0,1997063.0,2871465.0,0
2022-12-10,3450969.0,978652.0,2472317.0,1
2022-12-11,3450969.0,978652.0,2472317.0,1
2022-12-12,3450969.0,978652.0,2472317.0,0
2022-12-13,3450969.0,978652.0,2472317.0,0
2022-12-14,4703010.0,2037938.0,2665072.0,0
2022-12-15,4936907.0,2061313.0,2875594.0,0
2022-12-16,4976347.0,2047888.0,2928459.0,0
2022-12-17,3530373.0,1007057.0,2523316.0,1
2022-12-18,2431543.0,695959.0,1735584.0,1
2022-12-19,4576421.0,1964156.0,2612265.0,0
2022-12-20,2431543.0,695959.0,1735584.0,0
2022-12-21,5156498.0,2187229.0,2969269.0,0
2022-12-22,4960239.0,2068889.0,2891350.0,0
2022-12-23,4713479.0,1944787.0,2768692.0,0
2022-12-24,3246736.0,928226.0,2318510.0,1
2022-12-25,2560745.0,723434.0,1837311.0,1
2022-12-26,4460623.0,1848867.0,2611756.0,0
2022-12-27,4625771.0,1908013.0,2717758.0,0
2022-12-28,4707753.0,1922937.0,2784816.0,0
2022-12-29,4566925.0,1829069.0,2737856.0,0
2022-12-30,4543552.0,1671896.0,2871656.0,0
2022-12-31,3062602.0,873591.0,2189011.0,1
2023-01-01,2147083.0,616811.0,1530272.0,1
2023-01-02,4152073.0,1837710.0,2314363.0,0
2023-01-03,4354718.0,1911369.0,2443349.0,0
2023-01-04,4438397.0,1917727.0,2520670.0,0
2023-01-05,4441213.0,1896077.0,2545136.0,0
2023-01-06,4567801.0,1896768.0,2671033.0,0
2023-01-07,3214378.0,928799.0,2285579.0,1
2023-01-08,2393373.0,679869.0,1713504.0,1
2023-01-09,4349018.0,1888877.0,2460141.0,0
2023-01-10,4472535.0,1914913.0,2557622.0,0
2023-01-11,4506924.0,1913604.0,2593320.0,0
2023-01-12,4505689.0,1895857.0,2609832.0,0
2023-01-13,4468185.0,1879577.0,2588608.0,0
2023-01-14,3224867.0,933605.0,2291262.0,1
2023-01-15,2411835.0,692510.0,1719325.0,1
2023-01-16,4442870.0,1918478.0,2524392.0,0
2023-01-17,4515107.0,1921491.0,2593616.0,0
