대여일자,대여건수
2024-09-30,186558
2024-10-01,131750
2024-10-02,176842
2024-10-03,154012
2024-10-04,181964
2024-10-05,165479
2024-10-06,108639
2024-10-07,173889
2024-10-08,182682
2024-10-09,160343
2024-10-10,180124
2024-10-11,189284
2024-10-12,161687
2024-10-13,142166
2024-10-14,171314
2024-10-15,155623
2024-10-16,181100
2024-10-17,181165
2024-10-18,78685
2024-10-19,130845
2024-10-20,122491
2024-10-21,154414
2024-10-22,26820
2024-10-23,143682
2024-10-24,159378
2024-10-25,166458
2024-10-26,145497
2024-10-27,110957
2024-10-28,159283
2024-10-29,154501
2024-10-30,167863
