,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
122,2021-05-03,0.08661417322834646,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
123,2021-05-04,0.07349081364829396,0.11123723041997732,0.0,Weekday,Spring,2021,Normal,Moderate,No_Snow,0.0
124,2021-05-05,0.07874015748031496,0.0005675368898978435,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
125,2021-05-06,0.12598425196850394,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
126,2021-05-07,0.7611548556430446,0.04994324631101023,0.0,Weekday,Spring,2021,Very_bad,Light,No_Snow,0.0
127,2021-05-08,0.9868766404199475,0.0,0.0,Weekend,Spring,2021,Very_bad,Dry,No_Snow,0.0
128,2021-05-09,0.10236220472440945,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
129,2021-05-10,0.047244094488188976,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
130,2021-05-11,0.04199475065616798,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
131,2021-05-12,0.04199475065616798,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
132,2021-05-13,0.09973753280839895,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
133,2021-05-14,0.13123359580052493,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
134,2021-05-15,0.15223097112860892,0.08513053348467652,0.0,Weekend,Spring,2021,Normal,Moderate,No_Snow,0.0
135,2021-05-16,0.015748031496062992,0.37968217934165727,0.0,Weekend,Spring,2021,Good,Heavy,No_Snow,0.0
136,2021-05-17,0.02099737532808399,0.017593643586833147,0.0,Weekday,Spring,2021,Good,Light,No_Snow,0.0
137,2021-05-18,0.08136482939632546,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
138,2021-05-19,0.08661417322834646,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
139,2021-05-20,0.049868766404199474,0.005107832009080591,0.0,Weekday,Spring,2021,Good,Light,No_Snow,0.0
140,2021-05-21,0.03674540682414698,0.0391600454029512,0.0,Weekday,Spring,2021,Good,Light,No_Snow,0.0
141,2021-05-22,0.08398950131233596,0.001135073779795687,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
142,2021-05-23,0.11548556430446194,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
143,2021-05-24,0.26771653543307083,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
144,2021-05-25,0.2047244094488189,0.04710556186152101,0.0,Weekday,Spring,2021,Bad,Light,No_Snow,0.0
145,2021-05-26,0.09448818897637795,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
146,2021-05-27,0.11811023622047245,0.050510783200908065,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
147,2021-05-28,0.12965118490623453,0.06980703745743475,0.0,Weekday,Spring,2021,Normal,Moderate,No_Snow,0.0
148,2021-05-29,0.06036745406824147,0.0017026106696935302,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
149,2021-05-30,0.12965118490623453,0.10272417707150967,0.0,Weekend,Spring,2021,Normal,Moderate,No_Snow,0.0
150,2021-05-31,0.13385826771653542,0.022701475595913737,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
151,2021-06-01,0.11548556430446194,0.01816118047673099,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
152,2021-06-02,0.14173228346456693,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
153,2021-06-03,0.09711286089238845,0.10272417707150967,0.0,Weekday,Summer,2021,Normal,Moderate,No_Snow,0.0
154,2021-06-04,0.06824146981627296,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
155,2021-06-05,0.12860892388451445,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
156,2021-06-06,0.1679790026246719,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
157,2021-06-07,0.09186351706036745,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
158,2021-06-08,0.12860892388451445,0.0005675368898978435,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
159,2021-06-09,0.09448818897637795,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
160,2021-06-10,0.13385826771653542,0.034619750283768444,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
161,2021-06-11,0.05511811023622047,0.026106696935300797,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
162,2021-06-12,0.06824146981627296,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
163,2021-06-13,0.07349081364829396,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
164,2021-06-14,0.12073490813648294,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
165,2021-06-15,0.08398950131233596,0.010783200908059025,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
166,2021-06-16,0.028871391076115485,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
167,2021-06-17,0.047244094488188976,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
168,2021-06-18,0.06299212598425197,0.03575482406356414,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
169,2021-06-19,0.14960629921259844,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
170,2021-06-20,0.14960629921259844,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
171,2021-06-21,0.12598425196850394,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
172,2021-06-22,0.06561679790026247,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
173,2021-06-23,0.03674540682414698,0.04256526674233826,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
174,2021-06-24,0.08398950131233596,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
175,2021-06-25,0.11548556430446194,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
176,2021-06-26,0.06299212598425197,0.025539160045402954,0.0,Weekend,Summer,2021,Normal,Light,No_Snow,0.0
177,2021-06-27,0.047244094488188976,0.2167990919409762,0.0,Weekend,Summer,2021,Good,Moderate,No_Snow,0.0
178,2021-06-28,0.05249343832020997,0.0005675368898978435,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
179,2021-06-29,0.07874015748031496,0.045402951191827474,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
180,2021-06-30,0.11811023622047245,0.03405221339387061,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
181,2021-07-01,0.08923884514435695,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
182,2021-07-02,0.049868766404199474,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
183,2021-07-03,0.02099737532808399,0.34052213393870606,0.0,Weekend,Summer,2021,Good,Heavy,No_Snow,0.0
184,2021-07-04,0.01837270341207349,0.12145289443813849,0.0,Weekend,Summer,2021,Good,Moderate,No_Snow,0.0
185,2021-07-05,0.05511811023622047,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
186,2021-07-06,0.11023622047244094,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
187,2021-07-07,0.12860892388451445,0.07207718501702612,0.0,Weekday,Summer,2021,Normal,Moderate,No_Snow,0.0
188,2021-07-08,0.06561679790026247,0.01645856980703746,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
189,2021-07-09,0.03412073490813648,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
190,2021-07-10,0.07611548556430446,0.002837684449489217,0.0,Weekend,Summer,2021,Normal,Light,No_Snow,0.0
191,2021-07-11,0.09186351706036745,0.002270147559591374,0.0,Weekend,Summer,2021,Normal,Light,No_Snow,0.0
192,2021-07-12,0.06299212598425197,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
193,2021-07-13,0.08661417322834646,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
194,2021-07-14,0.049868766404199474,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
195,2021-07-15,0.04199475065616798,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
196,2021-07-16,0.03412073490813648,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
197,2021-07-17,0.028871391076115485,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
198,2021-07-18,0.03674540682414698,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
199,2021-07-19,0.03674540682414698,0.3825198637911465,0.0,Weekday,Summer,2021,Good,Heavy,No_Snow,0.0
200,2021-07-20,0.04199475065616798,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
201,2021-07-21,0.047244094488188976,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
202,2021-07-22,0.05511811023622047,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
203,2021-07-23,0.07611548556430446,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
204,2021-07-24,0.07611548556430446,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
205,2021-07-25,0.05249343832020997,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
206,2021-07-26,0.05511811023622047,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
207,2021-07-27,0.05511811023622047,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
208,2021-07-28,0.07874015748031496,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
209,2021-07-29,0.09973753280839895,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
210,2021-07-30,0.05774278215223097,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
211,2021-07-31,0.04461942257217848,0.017026106696935304,0.0,Weekend,Summer,2021,Good,Light,No_Snow,0.0
212,2021-08-01,0.08398950131233596,0.11918274687854712,0.0,Weekend,Summer,2021,Normal,Moderate,No_Snow,0.0
213,2021-08-02,0.031496062992125984,0.009648127128263339,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
