,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
194,2021-07-14,27.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
195,2021-07-15,24.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
196,2021-07-16,21.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
197,2021-07-17,19.0,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
198,2021-07-18,22.0,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
199,2021-07-19,22.0,67.4,0.0,Weekday,Summer,2021,Good,Heavy,No_Snow,0.0
200,2021-07-20,24.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
201,2021-07-21,26.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
202,2021-07-22,29.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
203,2021-07-23,37.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
204,2021-07-24,37.0,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
205,2021-07-25,28.0,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
206,2021-07-26,29.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
207,2021-07-27,29.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
208,2021-07-28,38.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
209,2021-07-29,46.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
210,2021-07-30,30.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
211,2021-07-31,25.0,3.0,0.0,Weekend,Summer,2021,Good,Light,No_Snow,0.0
212,2021-08-01,40.0,21.0,0.0,Weekend,Summer,2021,Normal,Moderate,No_Snow,0.0
213,2021-08-02,20.0,1.7,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
214,2021-08-03,27.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
215,2021-08-04,25.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
216,2021-08-05,25.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
217,2021-08-06,19.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
218,2021-08-07,17.0,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
219,2021-08-08,23.0,12.7,0.0,Weekend,Summer,2021,Good,Moderate,No_Snow,0.0
220,2021-08-09,16.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
221,2021-08-10,21.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
