,station_id,station_name,date,fine_dust(㎍/㎥)
535,108,서울,2022-07-12,14
536,108,서울,2022-07-13,16
537,108,서울,2022-07-14,14
538,108,서울,2022-07-15,25
539,108,서울,2022-07-16,27
540,108,서울,2022-07-17,26
541,108,서울,2022-07-18,26
542,108,서울,2022-07-19,34
543,108,서울,2022-07-20,31
544,108,서울,2022-07-21,13
545,108,서울,2022-07-22,29
546,108,서울,2022-07-23,33
547,108,서울,2022-07-24,18
548,108,서울,2022-07-25,24
549,108,서울,2022-07-26,33
550,108,서울,2022-07-27,38
551,108,서울,2022-07-28,28
552,108,서울,2022-07-29,25
553,108,서울,2022-07-30,23
554,108,서울,2022-07-31,13
555,108,서울,2022-08-01,21
556,108,서울,2022-08-03,26
557,108,서울,2022-08-04,21
558,108,서울,2022-08-05,18
559,108,서울,2022-08-06,33
560,108,서울,2022-08-07,26
561,108,서울,2022-08-10,20
562,108,서울,2022-08-11,15
563,108,서울,2022-08-12,27
564,108,서울,2022-08-13,28
565,108,서울,2022-08-14,23
566,108,서울,2022-08-15,24
567,108,서울,2022-08-16,24
568,108,서울,2022-08-17,24
569,108,서울,2022-08-18,23
570,108,서울,2022-08-19,26
571,108,서울,2022-08-20,25
572,108,서울,2022-08-21,27
573,108,서울,2022-08-22,24
574,108,서울,2022-08-23,18
575,108,서울,2022-08-24,18
576,108,서울,2022-08-25,19
577,108,서울,2022-08-26,33
578,108,서울,2022-08-27,20
579,108,서울,2022-08-28,18
580,108,서울,2022-08-29,13
581,108,서울,2022-08-30,8
582,108,서울,2022-08-31,11
583,108,서울,2022-09-01,19
584,108,서울,2022-09-02,18
585,108,서울,2022-09-03,13
586,108,서울,2022-09-04,12
587,108,서울,2022-09-07,31
588,108,서울,2022-09-08,30
589,108,서울,2022-09-09,22
590,108,서울,2022-09-10,14
591,108,서울,2022-09-11,20
592,108,서울,2022-09-12,22
593,108,서울,2022-09-13,19
594,108,서울,2022-09-14,19
595,108,서울,2022-09-15,21
596,108,서울,2022-09-16,24
597,108,서울,2022-09-17,21
598,108,서울,2022-09-18,22
599,108,서울,2022-09-19,16
600,108,서울,2022-09-20,26
601,108,서울,2022-09-21,30
602,108,서울,2022-09-22,31
603,108,서울,2022-09-23,26
604,108,서울,2022-09-24,20
605,108,서울,2022-09-25,24
606,108,서울,2022-09-26,27
607,108,서울,2022-09-27,27
608,108,서울,2022-09-28,36
609,108,서울,2022-09-29,52
610,108,서울,2022-09-30,50
611,108,서울,2022-10-01,48
612,108,서울,2022-10-02,31
613,108,서울,2022-10-03,14
614,108,서울,2022-10-04,17
615,108,서울,2022-10-05,19
616,108,서울,2022-10-07,15
617,108,서울,2022-10-09,10
618,108,서울,2022-10-11,24
619,108,서울,2022-10-12,25
620,108,서울,2022-10-13,24
621,108,서울,2022-10-14,28
622,108,서울,2022-10-15,34
623,108,서울,2022-10-16,38
624,108,서울,2022-10-17,30
625,108,서울,2022-10-18,25
626,108,서울,2022-10-19,28
627,108,서울,2022-10-20,39
628,108,서울,2022-10-21,50
629,108,서울,2022-10-22,35
630,108,서울,2022-10-23,37
631,108,서울,2022-10-24,28
632,108,서울,2022-10-27,32
633,108,서울,2022-10-28,43
634,108,서울,2022-10-29,26
635,108,서울,2022-10-30,26
636,108,서울,2022-10-31,27
637,108,서울,2022-11-01,42
638,108,서울,2022-11-02,33
639,108,서울,2022-11-03,28
640,108,서울,2022-11-04,27
641,108,서울,2022-11-05,34
642,108,서울,2022-11-06,29
643,108,서울,2022-11-07,36
644,108,서울,2022-11-08,41
645,108,서울,2022-11-09,65
646,108,서울,2022-11-10,69
647,108,서울,2022-11-11,53
648,108,서울,2022-11-12,45
649,108,서울,2022-11-13,17
650,108,서울,2022-11-14,23
651,108,서울,2022-11-15,31
652,108,서울,2022-11-16,27
653,108,서울,2022-11-17,38
654,108,서울,2022-11-18,38
655,108,서울,2022-11-19,31
656,108,서울,2022-11-20,29
657,108,서울,2022-11-21,36
658,108,서울,2022-11-22,53
659,108,서울,2022-11-23,37
660,108,서울,2022-11-24,49
661,108,서울,2022-11-25,52
662,108,서울,2022-11-26,64
663,108,서울,2022-11-27,22
664,108,서울,2022-11-28,30
665,108,서울,2022-11-29,17
666,108,서울,2022-11-30,24
667,108,서울,2022-12-01,25
668,108,서울,2022-12-02,23
669,108,서울,2022-12-03,36
670,108,서울,2022-12-04,16
671,108,서울,2022-12-05,22
672,108,서울,2022-12-06,30
673,108,서울,2022-12-07,37
674,108,서울,2022-12-08,31
675,108,서울,2022-12-09,39
676,108,서울,2022-12-10,37
677,108,서울,2022-12-11,43
678,108,서울,2022-12-12,32
679,108,서울,2022-12-13,247
680,108,서울,2022-12-14,59
681,108,서울,2022-12-15,34
682,108,서울,2022-12-16,31
683,108,서울,2022-12-17,25
684,108,서울,2022-12-18,23
685,108,서울,2022-12-19,23
686,108,서울,2022-12-20,33
687,108,서울,2022-12-21,39
688,108,서울,2022-12-22,30
689,108,서울,2022-12-23,22
690,108,서울,2022-12-24,30
691,108,서울,2022-12-25,41
692,108,서울,2022-12-26,46
693,108,서울,2022-12-27,46
694,108,서울,2022-12-28,35
695,108,서울,2022-12-29,30
696,108,서울,2022-12-30,34
697,108,서울,2022-12-31,48
698,108,서울,2023-01-01,55
699,108,서울,2023-01-02,26
700,108,서울,2023-01-03,30
701,108,서울,2023-01-04,35
702,108,서울,2023-01-05,48
703,108,서울,2023-01-06,72
704,108,서울,2023-01-07,126
705,108,서울,2023-01-08,161
706,108,서울,2023-01-09,106
707,108,서울,2023-01-10,68
708,108,서울,2023-01-11,75
709,108,서울,2023-01-12,50
710,108,서울,2023-01-13,16
711,108,서울,2023-01-16,23
712,108,서울,2023-01-17,34
713,108,서울,2023-01-18,58
714,108,서울,2023-01-19,73
715,108,서울,2023-01-20,75
716,108,서울,2023-01-21,28
717,108,서울,2023-01-22,30
718,108,서울,2023-01-23,60
719,108,서울,2023-01-24,34
720,108,서울,2023-01-25,24
721,108,서울,2023-01-26,30
722,108,서울,2023-01-27,48
723,108,서울,2023-01-28,43
724,108,서울,2023-01-29,55
725,108,서울,2023-01-30,51
726,108,서울,2023-01-31,42
727,108,서울,2023-02-01,63
728,108,서울,2023-02-02,50
729,108,서울,2023-02-03,43
730,108,서울,2023-02-04,39
